post_id,post,post_type,language,intent,sentiment_label,sentiment_confidence,category,topic,severity_level,risk_score,compliance_flag,product,summary,recommended_action,escalation_required,created_at
P281,Bank forced insurance product during loan approval process,Complaint,English,Complaint,Negative,0.94,Loans,Mis-selling insurance,Critical,96,TRUE,Loan,Forced bundling complaint,Escalate compliance team,TRUE,02-04-2026 09:58
P282,Customer care resolved my issue quickly and politely,Feedback,English,Praise,Positive,0.87,Customer Service,Fast resolution,Low,7,FALSE,,Positive service experience,Monitor only,FALSE,02-04-2026 18:36
P283,Unauthorized login attempt detected from unknown device location,Fraud,English,Fraud report,Negative,0.97,Fraud,Account breach attempt,Critical,99,TRUE,Net Banking,Security breach attempt detected,Escalate fraud team,TRUE,12-04-2026 13:05
P284,Loan approval process is okay but slower than expected timeline,Feedback,English,Feedback,Neutral,0.76,Loans,Loan delay,Medium,46,FALSE,Loan,Neutral loan feedback,Monitor,FALSE,03-04-2026 05:11
P285,ATM deducted money but cash was not dispensed again,Complaint,English,Complaint,Negative,0.94,Payments,ATM cash failure,High,90,FALSE,ATM,ATM failure issue,Escalate operations,TRUE,03-04-2026 11:49
P286,App crashes repeatedly during UPI payment attempts,Complaint,English,Complaint,Negative,0.92,Digital Banking,App crash UPI,High,87,FALSE,Mobile App,App instability issue,Escalate ops,TRUE,03-04-2026 23:05
P287,"Received instant cashback after transaction, very smooth experience",Promotion,English,Marketing engagement,Positive,0.9,Marketing,Cashback reward,Low,6,FALSE,Credit Card,Positive reward experience,Monitor only,FALSE,10-04-2026 19:35
P288,Fake call asking for OTP and CVV immediately to verify account,Fraud,English,Fraud report,Negative,0.96,Fraud,OTP CVV scam call,Critical,98,TRUE,Credit Card,Sensitive data scam attempt,Escalate fraud team,TRUE,04-04-2026 07:28
P289,Branch staff was very polite and helpful during my visit,Feedback,English,Praise,Positive,0.86,Customer Service,Branch experience,Low,7,FALSE,Branch Service,Good branch feedback,Monitor only,FALSE,04-04-2026 14:16
P290,Transaction failed but money was still deducted from account again,Complaint,English,Complaint,Negative,0.94,Payments,Failed transaction debit,High,91,FALSE,UPI,Transaction mismatch issue,Escalate operations,TRUE,04-04-2026 14:45
P291,Loan interest rates are fine but approval takes too long,Feedback,English,Feedback,Neutral,0.75,Loans,Loan processing delay,Medium,47,FALSE,Loan,Processing delay feedback,Monitor,FALSE,04-04-2026 22:33
P292,Suspicious email asking to verify bank account details urgently,Fraud,English,Fraud report,Negative,0.96,Fraud,Email phishing,Critical,95,TRUE,Internet Banking,Phishing email detected,Escalate fraud team,TRUE,05-04-2026 10:08
P293,Net banking interface is confusing compared to other banks,Feedback,English,Comparison,Neutral,0.73,Digital Banking,UI comparison,Medium,42,FALSE,Net Banking,UX feedback vs competitors,Monitor,FALSE,05-04-2026 03:19
P294,UPI transfer failed but amount got debited from account again,Complaint,English,Complaint,Negative,0.94,Payments,UPI debit failure,High,89,FALSE,UPI,Transfer failure issue,Escalate operations,TRUE,05-04-2026 10:08
P295,Festive offers are very attractive and useful this year,Promotion,English,Marketing engagement,Positive,0.89,Marketing,Festive offers,Low,5,FALSE,Credit Card,Positive campaign response,Monitor only,FALSE,05-04-2026 19:57
P296,Account suddenly blocked without any explanation or warning again,Complaint,English,Complaint,Negative,0.95,Customer Service,Account freeze,Critical,94,TRUE,Bank Account,Unexpected account block,Escalate compliance team,TRUE,03-04-2026 11:49
P297,Bank deducted charges without informing properly or clearly,Complaint,English,Complaint,Negative,0.92,Payments,Hidden charges,High,90,TRUE,Savings Account,Non-transparent charges issue,Escalate compliance team,TRUE,06-04-2026 01:44
P298,Employee accidentally shared internal pricing sheet on social media,Fraud,English,Fraud report,Negative,0.93,Fraud,Data leak,Critical,97,TRUE,Loan,Confidential data exposure,Escalate compliance + security,TRUE,06-04-2026 12:21
P299,Bank app shows incorrect balance compared to transaction history,Complaint,English,Complaint,Negative,0.9,Digital Banking,Balance mismatch,High,89,TRUE,Mobile App,Data inconsistency issue,Escalate ops + tech,TRUE,06-04-2026 12:59
P300,Loan EMI increased without any prior customer notification,Complaint,English,Complaint,Negative,0.94,Loans,EMI change issue,Critical,95,TRUE,Loan,Unnotified EMI change complaint,Escalate compliance team,TRUE,06-04-2026 20:17
